table,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-06-20T15:49:46,0.14
profitandloss,1276,1070,206,2026-06-20T15:49:46,0.194
balancesheet,1312,1140,172,2026-06-20T15:49:46,0.187
cashflow,1187,1056,131,2026-06-20T15:49:46,0.117
analysis,20,16,4,2026-06-20T15:49:46,0.009
documents,1585,1457,128,2026-06-20T15:49:46,0.084
prosandcons,16,14,2,2026-06-20T15:49:46,0.007
sectors,92,92,0,2026-06-20T15:49:46,0.015
stock_prices,5520,5520,0,2026-06-20T15:49:47,0.529
market_cap,552,552,0,2026-06-20T15:49:47,0.047
