SPRINT 2 RATIO EDGE CASE LOG
============================================================

ABB | 2012-12 | ROCE difference = 9.68% | Category: FORMULA_DISCREPANCY
ABB | 2012-12 | ROE difference = 12.49% | Category: FORMULA_DISCREPANCY
ABB | 2014-03 | ROCE difference = 5.90% | Category: FORMULA_DISCREPANCY
ABB | 2014-03 | ROE difference = 9.77% | Category: FORMULA_DISCREPANCY
ABB | 2015-03 | ROCE difference = 7.58% | Category: FORMULA_DISCREPANCY
ABB | 2015-03 | ROE difference = 10.46% | Category: FORMULA_DISCREPANCY
ABB | 2016-03 | ROCE difference = 11.27% | Category: FORMULA_DISCREPANCY
ABB | 2016-03 | ROE difference = 13.56% | Category: FORMULA_DISCREPANCY
ABB | 2017-03 | ROCE difference = 13.20% | Category: FORMULA_DISCREPANCY
ABB | 2017-03 | ROE difference = 14.93% | Category: FORMULA_DISCREPANCY
ABB | 2018-03 | ROCE difference = 8.08% | Category: FORMULA_DISCREPANCY
ABB | 2018-03 | ROE difference = 11.21% | Category: FORMULA_DISCREPANCY
ABB | 2019-03 | ROCE difference = 10.24% | Category: FORMULA_DISCREPANCY
ABB | 2019-03 | ROE difference = 12.49% | Category: FORMULA_DISCREPANCY
ABB | 2020-03 | ROCE difference = 12.58% | Category: FORMULA_DISCREPANCY
ABB | 2020-03 | ROE difference = 10.51% | Category: FORMULA_DISCREPANCY
ABB | 2021-03 | ROCE difference = 9.59% | Category: FORMULA_DISCREPANCY
ABB | 2021-03 | ROE difference = 8.34% | Category: FORMULA_DISCREPANCY
ABB | 2022-03 | ROCE difference = 6.80% | Category: FORMULA_DISCREPANCY
ABB | 2022-03 | ROE difference = 6.57% | Category: FORMULA_DISCREPANCY
ABB | 2023-03 | ROE difference = 5.13% | Category: FORMULA_DISCREPANCY
ADANIENSOL | 2014-03 | ROCE difference = 9.00% | Category: FORMULA_DISCREPANCY
ADANIENSOL | 2014-03 | ROE difference = 8.59% | Category: FORMULA_DISCREPANCY
ADANIENSOL | 2015-03 | ROCE difference = 8.04% | Category: FORMULA_DISCREPANCY
ADANIENSOL | 2015-03 | ROE difference = 9.24% | Category: FORMULA_DISCREPANCY
ADANIENSOL | 2016-03 | ROCE difference = 8.74% | Category: FORMULA_DISCREPANCY
ADANIENSOL | 2016-03 | ROE difference = 5.18% | Category: FORMULA_DISCREPANCY
ADANIENSOL | 2017-03 | ROCE difference = 7.82% | Category: FORMULA_DISCREPANCY
ADANIENSOL | 2017-03 | ROE difference = 5.53% | Category: FORMULA_DISCREPANCY
ADANIENSOL | 2018-03 | ROCE difference = 8.82% | Category: FORMULA_DISCREPANCY
ADANIENSOL | 2018-03 | ROE difference = 10.28% | Category: FORMULA_DISCREPANCY
ADANIENSOL | 2021-03 | ROCE difference = 5.06% | Category: FORMULA_DISCREPANCY
ADANIENSOL | 2021-03 | ROE difference = 5.87% | Category: FORMULA_DISCREPANCY
ADANIENT | 2013-03 | ROE difference = 7.95% | Category: FORMULA_DISCREPANCY
ADANIENT | 2016-03 | ROE difference = 6.17% | Category: FORMULA_DISCREPANCY
ADANIENT | 2017-03 | ROE difference = 7.10% | Category: FORMULA_DISCREPANCY
ADANIENT | 2018-03 | ROE difference = 9.70% | Category: FORMULA_DISCREPANCY
ADANIENT | 2019-03 | ROE difference = 10.21% | Category: FORMULA_DISCREPANCY
ADANIENT | 2020-03 | ROE difference = 7.50% | Category: FORMULA_DISCREPANCY
ADANIENT | 2021-03 | ROE difference = 7.54% | Category: FORMULA_DISCREPANCY
ADANIENT | 2022-03 | ROE difference = 10.10% | Category: FORMULA_DISCREPANCY
ADANIENT | 2023-03 | ROE difference = 6.31% | Category: FORMULA_DISCREPANCY
ADANIENT | 2024-03 | ROE difference = 5.11% | Category: FORMULA_DISCREPANCY
ADANIGREEN | 2017-03 | ROCE difference = 87.80% | Category: VERSION_DIFFERENCE
ADANIGREEN | 2017-03 | ROE difference = 18.61% | Category: FORMULA_DISCREPANCY
ADANIGREEN | 2018-03 | ROCE difference = 88.60% | Category: VERSION_DIFFERENCE
ADANIGREEN | 2018-03 | ROE difference = 24.99% | Category: VERSION_DIFFERENCE
ADANIGREEN | 2019-03 | ROCE difference = 84.27% | Category: VERSION_DIFFERENCE
ADANIGREEN | 2019-03 | ROE difference = 39.27% | Category: VERSION_DIFFERENCE
ADANIGREEN | 2020-03 | ROCE difference = 88.73% | Category: VERSION_DIFFERENCE
ADANIGREEN | 2020-03 | ROE difference = 17.59% | Category: FORMULA_DISCREPANCY
ADANIGREEN | 2021-03 | ROCE difference = 86.53% | Category: VERSION_DIFFERENCE
ADANIGREEN | 2021-03 | ROE difference = 6.43% | Category: FORMULA_DISCREPANCY
ADANIGREEN | 2022-03 | ROCE difference = 89.25% | Category: VERSION_DIFFERENCE
ADANIGREEN | 2023-03 | ROCE difference = 87.34% | Category: VERSION_DIFFERENCE
ADANIGREEN | 2024-03 | ROCE difference = 85.01% | Category: VERSION_DIFFERENCE
ADANIPORTS | 2013-03 | ROE difference = 7.53% | Category: FORMULA_DISCREPANCY
